1, 0, 407, 210, 54, 141, 1, 1, 1
1, 1, 579, 313, 35, 114, 1, 1, 1
1, 2, 709, 320, 39, 110, 1, 1, 1
1, 3, 839, 317, 40, 127, 1, 1, 1
1, 4, 869, 306, 66, 148, 1, 1, 1
1, 5, 859, 377, 42, 147, 1, 1, 1
1, 6, 1101, 284, 65, 91, 1, 1, 1
1, 7, 1156, 301, 49, 108, 1, 1, 1
1, 8, 1193, 360, 57, 101, 1, 1, 1
1, 9, 1139, 398, 51, 135, 1, 1, 1
1, 10, 1230, 443, 50, 138, 1, 1, 1
2, 0, 402, 228, 61, 124, 1, 1, 1
2, 1, 564, 314, 38, 114, 1, 1, 1
2, 2, 696, 322, 39, 111, 1, 1, 1
2, 3, 827, 317, 40, 128, 1, 1, 1
2, 4, 858, 308, 64, 145, 1, 1, 1
2, 5, 847, 378, 42, 146, 1, 1, 1
2, 6, 1068, 284, 81, 93, 1, 1, 1
2, 7, 1139, 299, 52, 110, 1, 1, 1
2, 8, 1179, 360, 56, 101, 1, 1, 1
2, 9, 1127, 398, 49, 131, 1, 1, 1
2, 10, 1215, 443, 65, 138, 1, 1, 1
3, 0, 392, 234, 64, 121, 1, 1, 1
3, 1, 544, 316, 44, 114, 1, 1, 1
3, 2, 683, 323, 39, 112, 1, 1, 1
3, 3, 815, 317, 40, 128, 1, 1, 1
3, 4, 843, 308, 66, 145, 1, 1, 1
3, 5, 833, 378, 42, 146, 1, 1, 1
3, 6, 1035, 283, 94, 95, 1, 1, 1
3, 7, 1129, 296, 45, 112, 1, 1, 1
3, 8, 1164, 360, 56, 100, 1, 1, 1
3, 9, 1112, 397, 50, 130, 1, 1, 1
3, 10, 1204, 443, 73, 138, 1, 1, 1
4, 0, 379, 239, 64, 121, 1, 1, 1
4, 1, 526, 317, 48, 114, 1, 1, 1
4, 2, 667, 325, 39, 112, 1, 1, 1
4, 3, 800, 318, 42, 127, 1, 1, 1
4, 4, 830, 307, 64, 147, 1, 1, 1
4, 5, 818, 378, 43, 146, 1, 1, 1
4, 6, 1019, 283, 84, 94, 1, 1, 1
4, 7, 1112, 295, 45, 113, 1, 1, 1
4, 8, 1148, 359, 55, 100, 1, 1, 1
4, 9, 1096, 396, 51, 130, 1, 1, 1
4, 10, 1194, 444, 74, 136, 1, 1, 1
4, 11, 1260, 397, 20, 120, 1, 1, 1
5, 0, 364, 243, 62, 122, 1, 1, 1
5, 1, 508, 318, 50, 114, 1, 1, 1
5, 2, 653, 327, 33, 113, 1, 1, 1
5, 3, 785, 317, 43, 128, 1, 1, 1
5, 4, 814, 308, 66, 145, 1, 1, 1
5, 5, 802, 379, 43, 145, 1, 1, 1
5, 6, 1004, 282, 71, 95, 1, 1, 1
5, 7, 1093, 295, 46, 112, 1, 1, 1
5, 8, 1132, 358, 54, 100, 1, 1, 1
5, 9, 1079, 395, 52, 130, 1, 1, 1
5, 10, 1189, 444, 63, 134, 1, 1, 1
5, 11, 1242, 396, 38, 119, 1, 1, 1
6, 0, 350, 249, 59, 121, 1, 1, 1
6, 1, 487, 319, 55, 113, 1, 1, 1
6, 2, 633, 328, 34, 115, 1, 1, 1
6, 3, 770, 317, 43, 126, 1, 1, 1
6, 4, 799, 307, 64, 145, 1, 1, 1
6, 5, 784, 380, 44, 144, 1, 1, 1
6, 6, 985, 282, 56, 94, 1, 1, 1
6, 7, 1068, 295, 52, 111, 1, 1, 1
6, 8, 1115, 357, 53, 100, 1, 1, 1
6, 9, 1060, 395, 54, 129, 1, 1, 1
6, 10, 1175, 444, 61, 133, 1, 1, 1
6, 11, 1223, 394, 56, 116, 1, 1, 1
